timestamp,joint_1,joint_2,joint_3,joint_4,joint_5,joint_6,joint_7,shoulder_link.x,shoulder_link.y,shoulder_link.z,half_arm_1_link.x,half_arm_1_link.y,half_arm_1_link.z,half_arm_2_link.x,half_arm_2_link.y,half_arm_2_link.z,forearm_link.x,forearm_link.y,forearm_link.z,spherical_wrist_1_link.x,spherical_wrist_1_link.y,spherical_wrist_1_link.z,spherical_wrist_2_link.x,spherical_wrist_2_link.y,spherical_wrist_2_link.z
0.002,0.325,-0.670,-0.091,-0.497,-0.904,0.223,-0.393,-0.660,0.207,0.667,-0.659,0.212,0.538,-0.533,0.177,0.374,-0.407,0.141,0.208,-0.222,0.095,0.126,-0.128,0.068,0.084
0.071,0.325,-0.670,-0.091,-0.497,-0.904,0.223,-0.392,-0.660,0.207,0.667,-0.659,0.212,0.538,-0.533,0.177,0.374,-0.407,0.141,0.208,-0.222,0.095,0.126,-0.128,0.068,0.084
0.092,0.325,-0.670,-0.091,-0.497,-0.904,0.223,-0.391,-0.660,0.207,0.667,-0.659,0.212,0.538,-0.533,0.177,0.374,-0.407,0.141,0.208,-0.222,0.095,0.126,-0.128,0.068,0.084
0.113,0.325,-0.670,-0.091,-0.497,-0.904,0.223,-0.390,-0.660,0.207,0.667,-0.659,0.212,0.538,-0.533,0.177,0.374,-0.407,0.141,0.208,-0.222,0.095,0.126,-0.128,0.068,0.084
0.134,0.325,-0.670,-0.091,-0.497,-0.904,0.223,-0.388,-0.660,0.207,0.667,-0.659,0.212,0.538,-0.533,0.177,0.374,-0.407,0.141,0.208,-0.222,0.095,0.126,-0.128,0.068,0.084
0.155,0.325,-0.670,-0.091,-0.497,-0.904,0.223,-0.386,-0.660,0.207,0.667,-0.659,0.212,0.538,-0.533,0.177,0.374,-0.407,0.141,0.208,-0.222,0.095,0.126,-0.128,0.068,0.084
0.176,0.325,-0.670,-0.091,-0.497,-0.904,0.223,-0.383,-0.660,0.207,0.667,-0.659,0.212,0.538,-0.533,0.177,0.374,-0.407,0.141,0.208,-0.222,0.095,0.126,-0.128,0.068,0.084
0.197,0.325,-0.670,-0.091,-0.497,-0.904,0.223,-0.381,-0.660,0.207,0.667,-0.659,0.212,0.538,-0.533,0.177,0.374,-0.407,0.141,0.208,-0.222,0.095,0.126,-0.128,0.068,0.084
0.218,0.325,-0.670,-0.091,-0.497,-0.904,0.223,-0.378,-0.660,0.207,0.667,-0.659,0.212,0.538,-0.533,0.177,0.374,-0.407,0.141,0.208,-0.222,0.095,0.126,-0.128,0.068,0.084
0.239,0.325,-0.670,-0.091,-0.497,-0.904,0.223,-0.375,-0.660,0.207,0.667,-0.659,0.212,0.538,-0.533,0.177,0.374,-0.407,0.141,0.208,-0.222,0.095,0.126,-0.128,0.068,0.084
0.260,0.325,-0.670,-0.091,-0.497,-0.904,0.223,-0.373,-0.660,0.207,0.667,-0.659,0.212,0.538,-0.533,0.177,0.374,-0.407,0.141,0.208,-0.222,0.095,0.126,-0.128,0.068,0.084
0.281,0.325,-0.670,-0.091,-0.497,-0.904,0.223,-0.370,-0.660,0.207,0.667,-0.659,0.212,0.538,-0.533,0.177,0.374,-0.407,0.141,0.208,-0.222,0.095,0.126,-0.128,0.068,0.084
0.302,0.325,-0.670,-0.091,-0.497,-0.904,0.223,-0.368,-0.660,0.207,0.667,-0.659,0.212,0.538,-0.533,0.177,0.374,-0.407,0.141,0.208,-0.222,0.095,0.126,-0.128,0.068,0.084
0.323,0.325,-0.670,-0.091,-0.497,-0.904,0.223,-0.365,-0.660,0.207,0.667,-0.659,0.212,0.538,-0.533,0.177,0.374,-0.407,0.141,0.208,-0.222,0.095,0.126,-0.128,0.068,0.084
0.344,0.325,-0.670,-0.091,-0.497,-0.904,0.223,-0.363,-0.660,0.207,0.667,-0.659,0.212,0.538,-0.533,0.177,0.374,-0.407,0.141,0.208,-0.222,0.095,0.126,-0.128,0.068,0.084
0.365,0.325,-0.670,-0.091,-0.497,-0.904,0.223,-0.360,-0.660,0.207,0.667,-0.659,0.212,0.538,-0.533,0.177,0.374,-0.407,0.141,0.208,-0.222,0.095,0.126,-0.128,0.068,0.084
0.386,0.325,-0.670,-0.091,-0.497,-0.904,0.223,-0.357,-0.660,0.207,0.667,-0.659,0.212,0.538,-0.533,0.177,0.374,-0.407,0.141,0.208,-0.222,0.095,0.126,-0.128,0.068,0.084
0.407,0.325,-0.670,-0.091,-0.497,-0.904,0.223,-0.355,-0.660,0.207,0.667,-0.659,0.212,0.538,-0.533,0.177,0.374,-0.407,0.141,0.208,-0.222,0.095,0.126,-0.128,0.068,0.084
0.428,0.325,-0.670,-0.091,-0.497,-0.904,0.223,-0.352,-0.660,0.207,0.667,-0.659,0.212,0.538,-0.533,0.177,0.374,-0.407,0.141,0.208,-0.222,0.095,0.126,-0.128,0.068,0.084
0.449,0.325,-0.670,-0.091,-0.497,-0.904,0.223,-0.350,-0.660,0.207,0.667,-0.659,0.212,0.538,-0.533,0.177,0.374,-0.407,0.141,0.208,-0.222,0.095,0.126,-0.128,0.068,0.084
