timestamp,joint_1,shoulder_link.x,shoulder_link.y,shoulder_link.z,shoulder_link.x_hat,shoulder_link.y_hat,shoulder_link.z_hat
33.513,-0.00023,-0.73392,0.13868,0.5546,-0.0,1e-05,-1.0
33.564,0.00108,-0.73344,0.14119,0.5546,-0.0,1e-05,-1.0
33.615,0.0046,-0.73261,0.1454,0.55459,-0.0,1e-05,-1.0
33.666,0.01042,-0.73159,0.15045,0.55459,-0.0,1e-05,-1.0
33.717,0.01747,-0.73053,0.15555,0.55459,-0.0,1e-05,-1.0
33.768,0.02459,-0.7294,0.16075,0.55459,-0.0,1e-05,-1.0
33.819,0.03171,-0.72826,0.16584,0.55459,-0.0,1e-05,-1.0
33.87,0.03883,-0.72709,0.17092,0.55459,-0.0,1e-05,-1.0
33.921,0.04596,-0.72585,0.17609,0.55459,-0.0,1e-05,-1.0
33.972,0.05308,-0.7246,0.18116,0.55459,-0.0,1e-05,-1.0
34.023,0.0602,-0.7233,0.18631,0.55459,-0.0,1e-05,-1.0
34.074,0.06732,-0.72195,0.19146,0.55459,-0.0,1e-05,-1.0
34.125,0.07444,-0.7206,0.19649,0.55459,-0.0,1e-05,-1.0
34.176,0.08156,-0.71921,0.20152,0.55459,-0.0,1e-05,-1.0
34.227,0.08868,-0.71776,0.20663,0.55459,-0.0,1e-05,-1.0
34.278,0.0958,-0.7163,0.21164,0.55459,-0.0,1e-05,-1.0
34.329,0.10292,-0.71477,0.21674,0.55459,-0.0,1e-05,-1.0
34.38,0.11005,-0.71324,0.22172,0.55459,-0.0,1e-05,-1.0
34.431,0.11717,-0.71168,0.22669,0.55459,-0.0,1e-05,-1.0
34.482,0.12429,-0.71005,0.23175,0.55458,-0.0,1e-05,-1.0
34.533,0.13141,-0.70838,0.23681,0.55458,-0.0,1e-05,-1.0
34.584,0.13853,-0.70671,0.24175,0.55458,-0.0,1e-05,-1.0
34.635,0.14565,-0.70497,0.24677,0.55458,-0.0,1e-05,-1.0
34.686,0.15277,-0.70319,0.25179,0.55458,-0.0,1e-05,-1.0
34.737,0.15989,-0.70138,0.25679,0.55458,-0.0,1e-05,-1.0
34.788,0.16701,-0.69957,0.26168,0.55458,-0.0,1e-05,-1.0
34.839,0.17413,-0.69773,0.26656,0.55458,-0.0,1e-05,-1.0
34.89,0.18126,-0.69581,0.27152,0.55458,-0.0,1e-05,-1.0
34.941,0.18838,-0.69386,0.27647,0.55458,-0.0,1e-05,-1.0
34.992,0.1955,-0.69188,0.2814,0.55458,-0.0,1e-05,-1.0
35.043,0.20262,-0.68986,0.28632,0.55458,-0.0,1e-05,-1.0
35.094,0.20974,-0.6878,0.29122,0.55458,-0.0,1e-05,-1.0
35.145,0.21686,-0.68571,0.29612,0.55458,-0.0,1e-05,-1.0
