timestamp,joint_3,half_arm_2_link.x,half_arm_2_link.y,half_arm_2_link.z,half_arm_2_link.x_hat,half_arm_2_link.y_hat,half_arm_2_link.z_hat
24.925,0.12927,-0.44085,0.06001,0.40803,0.02714,-0.00058,-0.99963
24.976,0.13058,-0.44067,0.06125,0.40804,0.02714,-0.00058,-0.99963
25.027,0.1341,-0.44035,0.06344,0.40804,0.02714,-0.00058,-0.99963
25.078,0.13993,-0.43991,0.06639,0.40805,0.02714,-0.00058,-0.99963
25.129,0.14697,-0.43944,0.06938,0.40807,0.02714,-0.00058,-0.99963
25.18,0.1541,-0.43893,0.07243,0.40808,0.02714,-0.00058,-0.99963
25.231,0.16122,-0.43841,0.07547,0.40809,0.02714,-0.00058,-0.99963
25.282,0.16834,-0.43786,0.07851,0.4081,0.02714,-0.00058,-0.99963
25.333,0.17546,-0.4373,0.08149,0.40812,0.02714,-0.00058,-0.99963
25.384,0.18258,-0.43671,0.08452,0.40813,0.02714,-0.00058,-0.99963
25.435,0.1897,-0.4361,0.08755,0.40815,0.02714,-0.00058,-0.99963
25.486,0.19682,-0.43547,0.09057,0.40816,0.02714,-0.00058,-0.99963
25.537,0.20395,-0.43483,0.09353,0.40818,0.02714,-0.00058,-0.99963
25.588,0.21107,-0.43415,0.09654,0.4082,0.02713,-0.00058,-0.99963
25.639,0.21819,-0.43346,0.09955,0.40821,0.02713,-0.00058,-0.99963
25.69,0.2253,-0.43274,0.10256,0.40823,0.02713,-0.00058,-0.99963
25.741,0.23243,-0.43201,0.1055,0.40825,0.02713,-0.00058,-0.99963
25.792,0.23955,-0.43126,0.10849,0.40827,0.02713,-0.00058,-0.99963
25.843,0.24667,-0.43049,0.11142,0.40829,0.02713,-0.00058,-0.99963
25.894,0.25379,-0.4297,0.11435,0.40831,0.02713,-0.00058,-0.99963
25.945,0.26091,-0.42888,0.11732,0.40833,0.02713,-0.00058,-0.99963
25.996,0.26803,-0.42805,0.12024,0.40835,0.02713,-0.00058,-0.99963
26.047,0.27516,-0.42719,0.1232,0.40837,0.02713,-0.00058,-0.99963
26.098,0.28228,-0.42632,0.1261,0.4084,0.02713,-0.00058,-0.99963
26.149,0.2894,-0.42541,0.12905,0.40842,0.02713,-0.00058,-0.99963
26.2,0.29652,-0.42448,0.132,0.40844,0.02713,-0.00058,-0.99963
26.251,0.30363,-0.42355,0.13488,0.40847,0.02712,-0.00058,-0.99963
26.302,0.31075,-0.42258,0.13781,0.40849,0.02712,-0.00058,-0.99963
26.353,0.31788,-0.42161,0.14068,0.40852,0.02712,-0.00058,-0.99963
26.404,0.325,-0.4206,0.1436,0.40854,0.02712,-0.00058,-0.99963
26.455,0.33212,-0.41959,0.14645,0.40857,0.02712,-0.00058,-0.99963
26.506,0.33924,-0.41854,0.14936,0.4086,0.02712,-0.00058,-0.99963
26.557,0.34637,-0.41747,0.15226,0.40862,0.02712,-0.00058,-0.99963
26.608,0.35349,-0.41638,0.15515,0.40865,0.02712,-0.00058,-0.99963
26.659,0.36061,-0.41526,0.15803,0.40868,0.02712,-0.00058,-0.99963
26.71,0.36773,-0.41415,0.16084,0.40871,0.02712,-0.00058,-0.99963
26.761,0.37485,-0.413,0.16371,0.40874,0.02712,-0.00058,-0.99963
26.812,0.38197,-0.41182,0.16657,0.40877,0.02712,-0.00058,-0.99963
26.863,0.38909,-0.41063,0.16941,0.4088,0.02712,-0.00058,-0.99963
26.914,0.39622,-0.40941,0.17225,0.40883,0.02712,-0.00058,-0.99963
