timestamp,joint_4,forearm_link.x,forearm_link.y,forearm_link.z,forearm_link.x_hat,forearm_link.y_hat,forearm_link.z_hat
58.228,-1.02239,-0.33763,0.07529,0.29765,0.11295,0.98962,0.0888
58.279,-1.02109,-0.33718,0.0752,0.29818,0.11295,0.98962,0.0888
58.33,-1.01757,-0.33609,0.07495,0.29947,0.11295,0.98962,0.0888
58.381,-1.01174,-0.33432,0.07457,0.30153,0.11295,0.98962,0.0888
58.432,-1.00469,-0.33225,0.07412,0.30393,0.11295,0.98962,0.0888
58.482,-0.99757,-0.33015,0.07366,0.30632,0.11295,0.98962,0.0888
58.534,-0.99045,-0.32807,0.07322,0.30865,0.11295,0.98962,0.0888
58.584,-0.98333,-0.32593,0.07276,0.31102,0.11296,0.98962,0.0888
58.636,-0.9762,-0.32382,0.07231,0.31332,0.11296,0.98962,0.0888
58.687,-0.96908,-0.32165,0.07186,0.31565,0.11296,0.98962,0.0888
58.738,-0.96196,-0.31946,0.0714,0.31797,0.11296,0.98962,0.0888
58.789,-0.95484,-0.3173,0.07095,0.32022,0.11296,0.98962,0.0888
58.84,-0.94772,-0.31508,0.07049,0.32251,0.11296,0.98962,0.0888
58.891,-0.9406,-0.31289,0.07004,0.32473,0.11296,0.98962,0.0888
58.942,-0.93348,-0.31064,0.06958,0.32699,0.11296,0.98962,0.0888
58.993,-0.92636,-0.30837,0.06912,0.32922,0.11296,0.98962,0.0888
59.044,-0.91924,-0.30613,0.06867,0.3314,0.11296,0.98962,0.0888
59.095,-0.91211,-0.30383,0.06821,0.3336,0.11297,0.98962,0.0888
59.145,-0.90499,-0.30156,0.06776,0.33575,0.11297,0.98962,0.0888
59.197,-0.89787,-0.29693,0.06685,0.34003,0.11297,0.98962,0.0888
59.248,-0.89075,-0.29461,0.0664,0.34213,0.11297,0.98962,0.0888
59.299,-0.88363,-0.29228,0.06595,0.34421,0.11297,0.98962,0.0888
59.35,-0.87651,-0.28994,0.06549,0.34627,0.11297,0.98962,0.0888
59.401,-0.86938,-0.28753,0.06503,0.34836,0.11297,0.98962,0.0888
59.452,-0.86226,-0.28516,0.06458,0.35039,0.11297,0.98962,0.0888
59.503,-0.85514,-0.28272,0.06412,0.35244,0.11297,0.98962,0.0888
59.554,-0.84802,-0.28032,0.06366,0.35443,0.11298,0.98962,0.0888
59.605,-0.8409,-0.27786,0.0632,0.35645,0.11298,0.98962,0.0888
59.655,-0.83378,-0.27543,0.06275,0.35841,0.11298,0.98962,0.0888
59.707,-0.82666,-0.27298,0.0623,0.36036,0.11298,0.98962,0.0888
59.758,-0.81954,-0.27047,0.06183,0.36232,0.11298,0.98962,0.0888
59.808,-0.81242,-0.268,0.06138,0.36423,0.11298,0.98962,0.0888
59.86,-0.8053,-0.26552,0.06093,0.36612,0.11298,0.98962,0.0888
59.91,-0.79818,-0.26297,0.06047,0.36803,0.11298,0.98962,0.0888
59.961,-0.79106,-0.26046,0.06001,0.36989,0.11298,0.98962,0.0888
60.012,-0.78393,-0.25793,0.05956,0.37173,0.11298,0.98962,0.0888
60.064,-0.77681,-0.25534,0.0591,0.37358,0.11298,0.98962,0.0888
60.115,-0.76969,-0.25274,0.05864,0.37542,0.11299,0.98962,0.0888
60.166,-0.76257,-0.25018,0.05818,0.3772,0.11299,0.98962,0.0888
60.217,-0.75545,-0.2476,0.05773,0.37897,0.11299,0.98962,0.0888
60.268,-0.74833,-0.24501,0.05728,0.38072,0.11299,0.98962,0.0888
60.318,-0.74121,-0.24236,0.05682,0.38248,0.11299,0.98962,0.0888
60.369,-0.73409,-0.23975,0.05637,0.38419,0.11299,0.98962,0.0888
60.421,-0.72697,-0.23707,0.05591,0.38591,0.11299,0.98962,0.0888
60.472,-0.71984,-0.23438,0.05545,0.38762,0.11299,0.98962,0.0888
60.522,-0.71272,-0.23173,0.055,0.38927,0.11299,0.98962,0.0888
60.574,-0.7056,-0.22902,0.05454,0.39094,0.11299,0.98962,0.0888
60.625,-0.69848,-0.22634,0.05409,0.39256,0.113,0.98962,0.0888
60.676,-0.69136,-0.22366,0.05364,0.39415,0.113,0.98962,0.0888
60.726,-0.68424,-0.22091,0.05318,0.39576,0.113,0.98962,0.0888
60.778,-0.67712,-0.21815,0.05272,0.39735,0.113,0.98962,0.0888
60.829,-0.66999,-0.21543,0.05227,0.39889,0.113,0.98962,0.0888
60.88,-0.66287,-0.2127,0.05183,0.40041,0.113,0.98962,0.0888
60.931,-0.65575,-0.20991,0.05137,0.40194,0.113,0.98962,0.0888
60.981,-0.64863,-0.20716,0.05092,0.40342,0.113,0.98962,0.0888
61.033,-0.64151,-0.20434,0.05047,0.40491,0.113,0.98962,0.0888
61.084,-0.63439,-0.20152,0.05001,0.40638,0.113,0.98962,0.0888
61.135,-0.62727,-0.19868,0.04956,0.40783,0.11301,0.98962,0.0888
61.186,-0.62015,-0.19583,0.04911,0.40926,0.11301,0.98962,0.0888
61.237,-0.61303,-0.19303,0.04866,0.41065,0.11301,0.98962,0.0888
61.287,-0.6059,-0.19016,0.04821,0.41203,0.11301,0.98962,0.0888
61.338,-0.59878,-0.18728,0.04776,0.4134,0.11301,0.98962,0.0888
61.39,-0.59166,-0.18445,0.04732,0.41472,0.11301,0.98962,0.0888
61.441,-0.58454,-0.18161,0.04688,0.41603,0.11301,0.98962,0.0888
61.492,-0.57742,-0.1787,0.04643,0.41733,0.11301,0.98962,0.0888
61.542,-0.5703,-0.17579,0.04598,0.41862,0.11301,0.98962,0.0888
61.594,-0.56318,-0.17286,0.04553,0.41988,0.11301,0.98962,0.08879
61.645,-0.55606,-0.16998,0.04509,0.4211,0.11302,0.98962,0.08879
61.696,-0.54894,-0.16704,0.04465,0.42233,0.11302,0.98962,0.08879
61.747,-0.54181,-0.16415,0.04421,0.42351,0.11302,0.98962,0.08879
61.798,-0.53469,-0.16119,0.04377,0.42469,0.11302,0.98962,0.08879
61.849,-0.52757,-0.15822,0.04332,0.42585,0.11302,0.98962,0.08879
61.9,-0.52045,-0.15524,0.04288,0.42699,0.11302,0.98962,0.08879
61.95,-0.51333,-0.15231,0.04245,0.42808,0.11302,0.98962,0.08879
62.002,-0.50621,-0.14932,0.04201,0.42918,0.11302,0.98962,0.08879
62.053,-0.49909,-0.14637,0.04158,0.43024,0.11302,0.98962,0.08879
62.103,-0.49197,-0.14337,0.04114,0.43129,0.11302,0.98962,0.08879
62.155,-0.48485,-0.14041,0.04071,0.4323,0.11303,0.98962,0.08879
62.207,-0.47758,-0.13738,0.04028,0.43331,0.11303,0.98962,0.08879
62.257,-0.47046,-0.13435,0.03984,0.4343,0.11303,0.98962,0.08879
62.309,-0.46334,-0.13137,0.03942,0.43525,0.11303,0.98962,0.08879
62.359,-0.45622,-0.12833,0.03898,0.4362,0.11303,0.98962,0.08879
62.41,-0.4491,-0.12528,0.03855,0.43712,0.11303,0.98962,0.08879
62.462,-0.44198,-0.12228,0.03813,0.43801,0.11303,0.98962,0.08879
62.513,-0.43486,-0.11921,0.0377,0.43889,0.11303,0.98962,0.08879
62.564,-0.42774,-0.11614,0.03727,0.43975,0.11303,0.98962,0.08879
62.615,-0.42062,-0.11312,0.03686,0.44057,0.11303,0.98962,0.08879
62.666,-0.41349,-0.1101,0.03644,0.44137,0.11303,0.98962,0.08879
62.717,-0.40637,-0.10707,0.03602,0.44215,0.11304,0.98962,0.08879
62.768,-0.39925,-0.10403,0.03561,0.44291,0.11304,0.98962,0.08879
62.819,-0.39213,-0.10093,0.03519,0.44366,0.11304,0.98962,0.08879
62.869,-0.38502,-0.09792,0.03478,0.44436,0.11304,0.98962,0.08879
62.921,-0.379,-0.09554,0.03446,0.44491,0.11304,0.98962,0.08879
62.972,-0.37522,-0.09415,0.03427,0.44522,0.11304,0.98962,0.08879
63.023,-0.37369,-0.09371,0.03421,0.44531,0.11304,0.98962,0.08879
63.074,-0.37365,-0.09371,0.03421,0.44531,0.11304,0.98962,0.08879
