timestamp,joint_6,spherical_wrist_2_link.x,spherical_wrist_2_link.y,spherical_wrist_2_link.z,spherical_wrist_2_link.x_hat,spherical_wrist_2_link.y_hat,spherical_wrist_2_link.z_hat
70.702,-0.67436,-0.1095,0.00807,0.12644,0.17932,0.97954,0.09138
70.754,-0.67306,-0.10928,0.00801,0.12663,0.17932,0.97954,0.09138
70.805,-0.66954,-0.10878,0.00788,0.12706,0.17933,0.97954,0.09138
70.856,-0.66392,-0.10806,0.00769,0.12769,0.17933,0.97954,0.09138
70.907,-0.65764,-0.10728,0.00749,0.12836,0.17933,0.97954,0.09138
70.958,-0.6514,-0.1065,0.00728,0.12902,0.17933,0.97954,0.09138
71.009,-0.64516,-0.10573,0.00708,0.12966,0.17933,0.97954,0.09138
71.059,-0.63894,-0.10496,0.00688,0.1303,0.17933,0.97954,0.09138
71.111,-0.63271,-0.10416,0.00668,0.13094,0.17933,0.97954,0.09138
71.162,-0.62648,-0.10337,0.00647,0.13159,0.17933,0.97954,0.09138
71.213,-0.62025,-0.10258,0.00627,0.13221,0.17933,0.97954,0.09138
71.264,-0.61402,-0.10178,0.00606,0.13284,0.17933,0.97954,0.09138
71.315,-0.60779,-0.10097,0.00585,0.13346,0.17933,0.97954,0.09138
71.365,-0.60155,-0.10015,0.00565,0.13408,0.17933,0.97954,0.09138
71.417,-0.59532,-0.09935,0.00545,0.13469,0.17933,0.97954,0.09138
71.468,-0.58909,-0.09853,0.00524,0.1353,0.17933,0.97954,0.09138
71.519,-0.58286,-0.09772,0.00503,0.13589,0.17933,0.97954,0.09138
71.57,-0.57663,-0.09689,0.00483,0.13649,0.17933,0.97954,0.09138
71.621,-0.5704,-0.09608,0.00462,0.13707,0.17933,0.97954,0.09138
71.672,-0.56417,-0.09526,0.00442,0.13765,0.17933,0.97954,0.09138
71.723,-0.55793,-0.09442,0.00421,0.13823,0.17933,0.97953,0.09138
71.774,-0.5517,-0.09359,0.00401,0.1388,0.17933,0.97953,0.09138
71.825,-0.54547,-0.09276,0.0038,0.13936,0.17933,0.97953,0.09138
71.876,-0.53924,-0.09191,0.00359,0.13993,0.17933,0.97953,0.09138
71.926,-0.53301,-0.09106,0.00339,0.14049,0.17933,0.97953,0.09138
71.977,-0.52678,-0.08937,0.00298,0.14158,0.17934,0.97953,0.09139
72.028,-0.52055,-0.08852,0.00277,0.14212,0.17934,0.97953,0.09139
72.079,-0.51432,-0.08766,0.00256,0.14266,0.17934,0.97953,0.09139
72.13,-0.50809,-0.08679,0.00235,0.14319,0.17934,0.97953,0.09139
72.182,-0.50185,-0.08593,0.00215,0.14371,0.17934,0.97953,0.09139
72.233,-0.49562,-0.08505,0.00194,0.14423,0.17934,0.97953,0.09139
72.284,-0.48939,-0.08417,0.00173,0.14475,0.17934,0.97953,0.09139
72.335,-0.48316,-0.08329,0.00152,0.14527,0.17934,0.97953,0.09139
72.386,-0.47693,-0.08242,0.00131,0.14576,0.17934,0.97953,0.09139
72.436,-0.4707,-0.08153,0.0011,0.14627,0.17934,0.97953,0.09139
72.488,-0.46447,-0.08063,0.00089,0.14676,0.17934,0.97953,0.09139
72.539,-0.45823,-0.07973,0.00068,0.14725,0.17934,0.97953,0.09139
72.589,-0.45201,-0.07885,0.00048,0.14773,0.17934,0.97953,0.09139
72.64,-0.44577,-0.07795,0.00027,0.14821,0.17934,0.97953,0.09139
72.692,-0.43953,-0.07704,6e-05,0.14868,0.17934,0.97953,0.09139
72.742,-0.43331,-0.07613,-0.00015,0.14915,0.17934,0.97953,0.09139
72.794,-0.42708,-0.07522,-0.00036,0.14961,0.17934,0.97953,0.09139
72.844,-0.42085,-0.07432,-0.00057,0.15006,0.17934,0.97953,0.09139
72.896,-0.41462,-0.07341,-0.00078,0.15051,0.17934,0.97953,0.09139
72.946,-0.40839,-0.0725,-0.00099,0.15094,0.17934,0.97953,0.09139
