timestamp,joint_3,half_arm_2_link.x,half_arm_2_link.y,half_arm_2_link.z,half_arm_2_link.x_hat,half_arm_2_link.y_hat,half_arm_2_link.z_hat
56.687,-0.83025,-0.33851,0.10154,0.47781,0.11867,-0.11488,-0.98627
56.738,-0.82894,-0.33839,0.10221,0.47774,0.11867,-0.11488,-0.98627
56.789,-0.82542,-0.33818,0.1035,0.47762,0.11867,-0.11488,-0.98627
56.84,-0.81959,-0.33786,0.10535,0.47744,0.11866,-0.11488,-0.98627
56.891,-0.81255,-0.33751,0.10728,0.47726,0.11866,-0.11487,-0.98627
56.942,-0.80542,-0.33714,0.10924,0.47708,0.11866,-0.11487,-0.98627
56.993,-0.7983,-0.33676,0.11117,0.4769,0.11866,-0.11487,-0.98627
57.044,-0.79118,-0.33636,0.11313,0.47672,0.11866,-0.11487,-0.98627
57.095,-0.78406,-0.33595,0.11509,0.47654,0.11866,-0.11487,-0.98627
57.146,-0.77694,-0.33552,0.11704,0.47636,0.11866,-0.11487,-0.98627
57.197,-0.76982,-0.33509,0.11896,0.47619,0.11866,-0.11487,-0.98627
57.248,-0.7627,-0.33464,0.1209,0.47602,0.11866,-0.11487,-0.98627
57.299,-0.75558,-0.33417,0.12285,0.47585,0.11866,-0.11487,-0.98627
57.35,-0.74846,-0.3337,0.12476,0.47569,0.11866,-0.11487,-0.98627
57.401,-0.74133,-0.33321,0.1267,0.47552,0.11866,-0.11487,-0.98627
57.452,-0.73421,-0.3327,0.12863,0.47536,0.11866,-0.11487,-0.98627
57.503,-0.72709,-0.33219,0.13053,0.4752,0.11866,-0.11487,-0.98627
57.554,-0.71997,-0.33166,0.13242,0.47504,0.11866,-0.11487,-0.98627
57.605,-0.71285,-0.33111,0.13435,0.47488,0.11866,-0.11487,-0.98627
57.656,-0.70573,-0.33056,0.13623,0.47473,0.11866,-0.11487,-0.98627
57.707,-0.69861,-0.32998,0.13815,0.47458,0.11865,-0.11487,-0.98627
57.758,-0.69149,-0.32941,0.14003,0.47443,0.11865,-0.11487,-0.98627
57.809,-0.68436,-0.32882,0.1419,0.47428,0.11865,-0.11487,-0.98627
57.86,-0.67724,-0.32821,0.14377,0.47414,0.11865,-0.11487,-0.98627
57.911,-0.67012,-0.32758,0.14567,0.47399,0.11865,-0.11487,-0.98627
57.962,-0.663,-0.32695,0.14753,0.47385,0.11865,-0.11487,-0.98627
58.013,-0.65588,-0.3263,0.14943,0.47371,0.11865,-0.11487,-0.98627
