timestamp,joint_1,shoulder_link.x,shoulder_link.y,shoulder_link.z,shoulder_link.x_hat,shoulder_link.y_hat,shoulder_link.z_hat
36.113,0.10352,-0.60442,-0.08818,0.58599,-0.0,1e-05,-1.0
36.164,0.10222,-0.60427,-0.08919,0.58599,-0.0,1e-05,-1.0
36.215,0.0987,-0.60392,-0.09156,0.58599,-0.0,1e-05,-1.0
36.266,0.09287,-0.60336,-0.09521,0.58599,-0.0,1e-05,-1.0
36.317,0.08583,-0.60267,-0.09949,0.58599,-0.0,1e-05,-1.0
36.368,0.0787,-0.60194,-0.10378,0.58599,-0.0,1e-05,-1.0
36.419,0.07158,-0.60119,-0.10806,0.58599,-0.0,1e-05,-1.0
36.47,0.06446,-0.60042,-0.11226,0.58599,-0.0,1e-05,-1.0
36.521,0.05734,-0.59962,-0.11645,0.58599,-0.0,1e-05,-1.0
36.572,0.05022,-0.59878,-0.12071,0.58599,-0.0,1e-05,-1.0
36.623,0.0431,-0.5979,-0.12497,0.58599,-0.0,1e-05,-1.0
36.674,0.03597,-0.597,-0.12923,0.58599,-0.0,1e-05,-1.0
36.725,0.02885,-0.59608,-0.13339,0.58599,-0.0,1e-05,-1.0
36.776,0.02173,-0.59512,-0.13763,0.58599,-0.0,1e-05,-1.0
36.827,0.01461,-0.59414,-0.14179,0.58599,-0.0,1e-05,-1.0
36.878,0.00749,-0.59314,-0.14593,0.58599,-0.0,1e-05,-1.0
36.929,0.00037,-0.5921,-0.15007,0.58599,-0.0,1e-05,-1.0
36.98,-0.00675,-0.59102,-0.15428,0.58599,-0.0,1e-05,-1.0
37.031,-0.01387,-0.58991,-0.15848,0.58599,-0.0,1e-05,-1.0
37.082,-0.02099,-0.58879,-0.1626,0.58599,-0.0,1e-05,-1.0
37.133,-0.02811,-0.58764,-0.16671,0.58599,-0.0,1e-05,-1.0
37.184,-0.03524,-0.58523,-0.17498,0.58599,-0.0,1e-05,-1.0
37.235,-0.04236,-0.58399,-0.17906,0.58599,-0.0,1e-05,-1.0
37.286,-0.04948,-0.5827,-0.18321,0.58599,-0.0,1e-05,-1.0
37.337,-0.0566,-0.58138,-0.18736,0.58599,-0.0,1e-05,-1.0
37.388,-0.06372,-0.58006,-0.19141,0.58599,-0.0,1e-05,-1.0
37.439,-0.07084,-0.57868,-0.19554,0.58599,-0.0,1e-05,-1.0
37.49,-0.07796,-0.5773,-0.19958,0.58599,-0.0,1e-05,-1.0
37.541,-0.08508,-0.5759,-0.2036,0.58599,-0.0,1e-05,-1.0
37.592,-0.0922,-0.57446,-0.20762,0.58599,-0.0,1e-05,-1.0
37.643,-0.09933,-0.573,-0.21162,0.58599,-0.0,1e-05,-1.0
37.694,-0.10645,-0.57151,-0.21562,0.58599,-0.0,1e-05,-1.0
37.745,-0.11357,-0.56999,-0.2196,0.58599,-0.0,1e-05,-1.0
