timestamp,joint_5,spherical_wrist_1_link.x,spherical_wrist_1_link.y,spherical_wrist_1_link.z,spherical_wrist_1_link.x_hat,spherical_wrist_1_link.y_hat,spherical_wrist_1_link.z_hat
71.615,-0.96148,0.10324,0.05053,0.23402,-0.09587,0.02563,-0.99506
71.666,-0.96018,0.10342,0.05027,0.234,-0.09587,0.02563,-0.99506
71.717,-0.95666,0.10372,0.04984,0.23396,-0.09587,0.02563,-0.99506
71.768,-0.95104,0.10406,0.04934,0.23391,-0.09587,0.02563,-0.99506
71.819,-0.94476,0.10439,0.04885,0.23387,-0.09587,0.02563,-0.99506
71.87,-0.93852,0.10473,0.04835,0.23382,-0.09587,0.02563,-0.99506
71.921,-0.93229,0.10505,0.04785,0.23378,-0.09587,0.02563,-0.99506
71.972,-0.92606,0.10539,0.04733,0.23373,-0.09587,0.02563,-0.99506
72.023,-0.91983,0.10572,0.04682,0.23369,-0.09587,0.02563,-0.99506
72.074,-0.9136,0.10604,0.04631,0.23364,-0.09587,0.02563,-0.99506
72.125,-0.90737,0.10635,0.04581,0.2336,-0.09587,0.02563,-0.99506
72.176,-0.90113,0.10667,0.04529,0.23356,-0.09587,0.02563,-0.99506
72.227,-0.8949,0.10698,0.04477,0.23351,-0.09586,0.02563,-0.99506
72.278,-0.88867,0.10729,0.04426,0.23347,-0.09586,0.02563,-0.99506
72.329,-0.88244,0.1076,0.04373,0.23343,-0.09586,0.02563,-0.99506
72.38,-0.87621,0.1079,0.04321,0.23338,-0.09586,0.02563,-0.99506
72.431,-0.86998,0.1082,0.04268,0.23334,-0.09586,0.02563,-0.99506
72.482,-0.86375,0.1085,0.04216,0.2333,-0.09586,0.02563,-0.99506
72.533,-0.85751,0.10879,0.04164,0.23326,-0.09586,0.02563,-0.99506
72.584,-0.85129,0.10908,0.0411,0.23321,-0.09586,0.02563,-0.99506
72.635,-0.84505,0.10937,0.04057,0.23317,-0.09586,0.02563,-0.99506
72.686,-0.83883,0.10965,0.04004,0.23313,-0.09586,0.02563,-0.99506
72.737,-0.83259,0.10993,0.0395,0.23309,-0.09586,0.02563,-0.99506
72.788,-0.82636,0.11021,0.03897,0.23305,-0.09586,0.02563,-0.99506
72.839,-0.82013,0.11048,0.03843,0.23301,-0.09586,0.02563,-0.99507
72.89,-0.8139,0.11075,0.03789,0.23297,-0.09586,0.02563,-0.99507
72.941,-0.80767,0.11102,0.03735,0.23293,-0.09586,0.02563,-0.99507
72.992,-0.80144,0.11128,0.03681,0.23289,-0.09586,0.02563,-0.99507
73.043,-0.79521,0.11154,0.03627,0.23285,-0.09586,0.02563,-0.99507
73.094,-0.78898,0.1118,0.03572,0.23281,-0.09586,0.02563,-0.99507
73.145,-0.78274,0.11205,0.03518,0.23278,-0.09586,0.02563,-0.99507
73.196,-0.77651,0.1123,0.03463,0.23274,-0.09585,0.02563,-0.99507
73.247,-0.77028,0.11255,0.03407,0.2327,-0.09585,0.02563,-0.99507
73.298,-0.76405,0.11279,0.03352,0.23266,-0.09585,0.02563,-0.99507
73.349,-0.75782,0.11303,0.03296,0.23262,-0.09585,0.02563,-0.99507
73.4,-0.75159,0.11327,0.03241,0.23259,-0.09585,0.02563,-0.99507
73.451,-0.74535,0.1135,0.03185,0.23255,-0.09585,0.02563,-0.99507
73.502,-0.73913,0.11373,0.03129,0.23251,-0.09585,0.02563,-0.99507
73.553,-0.7329,0.11396,0.03074,0.23248,-0.09585,0.02563,-0.99507
73.604,-0.72666,0.11418,0.03017,0.23244,-0.09585,0.02563,-0.99507
73.655,-0.72043,0.11441,0.0296,0.23241,-0.09585,0.02563,-0.99507
73.706,-0.7142,0.11463,0.02903,0.23237,-0.09585,0.02563,-0.99507
73.757,-0.70797,0.11484,0.02846,0.23233,-0.09585,0.02563,-0.99507
73.808,-0.70174,0.11505,0.02789,0.2323,-0.09585,0.02563,-0.99507
73.859,-0.69551,0.11525,0.02733,0.23227,-0.09585,0.02563,-0.99507
73.91,-0.68927,0.11546,0.02675,0.23223,-0.09585,0.02563,-0.99507
73.961,-0.68304,0.11565,0.02619,0.2322,-0.09585,0.02563,-0.99507
74.012,-0.67681,0.11585,0.02561,0.23216,-0.09585,0.02563,-0.99507
74.063,-0.67058,0.11604,0.02504,0.23213,-0.09585,0.02563,-0.99507
74.114,-0.66435,0.11623,0.02447,0.2321,-0.09585,0.02563,-0.99507
74.165,-0.65812,0.11641,0.0239,0.23207,-0.09584,0.02563,-0.99507
74.216,-0.65189,0.11659,0.02332,0.23203,-0.09584,0.02563,-0.99507
74.267,-0.64566,0.11677,0.02275,0.232,-0.09584,0.02563,-0.99507
74.318,-0.63943,0.11694,0.02217,0.23197,-0.09584,0.02563,-0.99507
74.369,-0.6332,0.11712,0.02158,0.23194,-0.09584,0.02563,-0.99507
74.42,-0.62696,0.11728,0.021,0.23191,-0.09584,0.02563,-0.99507
74.471,-0.62073,0.11745,0.02041,0.23188,-0.09584,0.02563,-0.99507
74.522,-0.6145,0.11761,0.01982,0.23184,-0.09584,0.02563,-0.99507
74.573,-0.60827,0.11776,0.01924,0.23181,-0.09584,0.02563,-0.99507
74.624,-0.60204,0.11792,0.01866,0.23179,-0.09584,0.02563,-0.99507
74.675,-0.59581,0.11807,0.01807,0.23176,-0.09584,0.02563,-0.99507
74.726,-0.58958,0.11821,0.01748,0.23173,-0.09584,0.02563,-0.99507
74.777,-0.58335,0.11836,0.01688,0.2317,-0.09584,0.02563,-0.99507
74.828,-0.57712,0.11849,0.0163,0.23167,-0.09584,0.02563,-0.99507
74.879,-0.57088,0.11863,0.01571,0.23164,-0.09584,0.02563,-0.99507
74.93,-0.56465,0.11876,0.01511,0.23161,-0.09584,0.02563,-0.99507
74.981,-0.55842,0.11889,0.01453,0.23158,-0.09584,0.02563,-0.99507
75.032,-0.55219,0.11901,0.01393,0.23156,-0.09584,0.02563,-0.99507
75.083,-0.54594,0.11913,0.01333,0.23153,-0.09583,0.02563,-0.99507
75.134,-0.53973,0.11925,0.01274,0.2315,-0.09583,0.02562,-0.99507
75.185,-0.5335,0.11936,0.01214,0.23148,-0.09583,0.02562,-0.99507
75.236,-0.52727,0.11947,0.01154,0.23145,-0.09583,0.02562,-0.99507
75.287,-0.52104,0.11958,0.01095,0.23143,-0.09583,0.02562,-0.99507
75.338,-0.5148,0.11968,0.01034,0.2314,-0.09583,0.02562,-0.99507
75.389,-0.50857,0.11978,0.00975,0.23138,-0.09583,0.02562,-0.99507
75.44,-0.50233,0.11987,0.00916,0.23135,-0.09583,0.02562,-0.99507
75.491,-0.49611,0.11996,0.00855,0.23133,-0.09583,0.02562,-0.99507
75.542,-0.48988,0.12013,0.00736,0.23128,-0.09583,0.02562,-0.99507
75.593,-0.48365,0.12021,0.00676,0.23126,-0.09583,0.02562,-0.99507
75.644,-0.47742,0.12029,0.00616,0.23123,-0.09583,0.02562,-0.99507
75.695,-0.47118,0.12036,0.00556,0.23121,-0.09583,0.02562,-0.99507
75.746,-0.46495,0.12043,0.00497,0.23119,-0.09583,0.02562,-0.99507
75.797,-0.45873,0.12049,0.00436,0.23117,-0.09583,0.02562,-0.99507
75.848,-0.45249,0.12056,0.00375,0.23115,-0.09583,0.02562,-0.99507
75.899,-0.44626,0.12061,0.00314,0.23112,-0.09583,0.02562,-0.99507
75.95,-0.44003,0.12067,0.00254,0.2311,-0.09583,0.02562,-0.99507
76.001,-0.4338,0.12072,0.00193,0.23108,-0.09582,0.02562,-0.99507
76.052,-0.42757,0.12076,0.00133,0.23106,-0.09582,0.02562,-0.99507
76.103,-0.42134,0.12081,0.00072,0.23104,-0.09582,0.02562,-0.99507
76.154,-0.4151,0.12085,0.00012,0.23102,-0.09582,0.02562,-0.99507
76.205,-0.40887,0.12088,-0.00049,0.23101,-0.09582,0.02562,-0.99507
76.256,-0.40264,0.12091,-0.0011,0.23099,-0.09582,0.02562,-0.99507
76.307,-0.39641,0.12094,-0.0017,0.23097,-0.09582,0.02562,-0.99507
76.358,-0.39018,0.12097,-0.00231,0.23095,-0.09582,0.02562,-0.99507
76.409,-0.38395,0.12099,-0.00292,0.23093,-0.09582,0.02562,-0.99507
76.46,-0.37772,0.121,-0.00352,0.23092,-0.09582,0.02562,-0.99507
76.511,-0.37149,0.12102,-0.00414,0.2309,-0.09582,0.02562,-0.99507
76.562,-0.36526,0.12103,-0.00474,0.23088,-0.09582,0.02562,-0.99507
76.613,-0.35902,0.12103,-0.00535,0.23087,-0.09582,0.02562,-0.99507
